,measure,year,month,sector,floor_size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source,source_ord
22817,22817,2007,10.0,education,837.0,5,203.0,3,1934,19.2,24.4,29.6,2484.68,gas,2
22818,22818,2014,1.0,residential,177.0,5,337.0,25,1947,8.0,14.3,20.5,4614.02,oil,3
22819,22819,2012,8.0,office,279.0,6,12.0,18,1945,23.7,28.5,33.8,5905.87,elec,1
22820,22820,2011,5.0,education,1114.0,4,51.0,4,1924,22.6,29.2,35.5,5973.89,elec,1
22821,22821,2010,8.0,commercial,624.0,6,55.0,6,1978,23.4,29.1,38.2,6751.18,elec,1
22822,22822,2005,5.0,commercial,260.0,4,117.0,4,2009,23.7,29.9,38.1,1626.64,elec,1
22823,22823,2009,8.0,commercial,317.0,8,51.0,2,1976,18.9,26.7,34.5,1004.05,elec,1
22824,22824,2007,8.0,residential,686.0,3,172.0,18,1950,22.7,28.5,32.0,8191.54,oil,3
22825,22825,2007,3.0,commercial,312.0,4,172.0,3,1959,18.0,23.6,31.0,934.32,gas,2
22826,22826,2012,10.0,commercial,442.0,1,172.0,5,1953,17.7,24.4,35.6,3638.54,elec,1
22827,22827,2010,4.0,commercial,349.0,6,172.0,3,1958,19.7,26.3,31.9,835.51,elec,1
22828,22828,2013,10.0,education,1919.0,3,37.0,6,1962,12.8,23.4,31.1,16016.43,elec,1
22829,22829,2011,11.0,commercial,1492.0,4,172.0,2,1991,12.9,19.5,28.1,2978.63,gas,2
22830,22830,2012,10.0,education,1862.0,8,19.0,6,1945,11.8,23.9,32.5,6583.08,gas,2
22831,22831,2011,7.0,education,565.0,5,117.0,5,2006,27.3,31.0,38.1,3800.6,elec,1
22832,22832,2012,9.0,education,1862.0,8,19.0,6,1945,17.8,26.8,,15165.32,elec,1
22833,22833,2012,3.0,education,388.0,4,172.0,2,1936,18.8,23.6,29.8,1204.6,elec,1
22834,22834,2007,11.0,office,277.0,1,172.0,10,1928,11.4,19.9,27.6,4851.541864684603,oil,3
22835,22835,2007,10.0,factory,788.0,4,117.0,6,1998,17.7,23.9,35.0,3087.86,oil,3
22836,22836,2010,1.0,office,741.0,2,55.0,9,2004,8.0,15.2,21.9,9817.81,oil,3
22837,22837,2011,3.0,commercial,313.0,3,-7.0,7,1978,15.5,23.4,32.5,1477.23,oil,3
22838,22838,2009,1.0,commercial,260.0,7,337.0,6,1929,5.7,14.5,21.7,3242.12,oil,3
22839,22839,2009,9.0,commercial,982.0,8,55.0,28,1959,20.7,26.8,33.1,25193.81,elec,1
22840,22840,2013,12.0,commercial,588.0,2,12.0,4,1963,4.8,14.3,21.0,2582.54,gas,2
22841,22841,2008,11.0,office,258.0,4,117.0,11,1950,12.7,19.1,23.7,1407.65,gas,2
22842,22842,2009,6.0,education,326.0,7,12.0,5,1983,26.1,31.1,36.0,2002.45,oil,3
22843,22843,2008,6.0,factory,595.0,7,37.0,1,1999,20.0,29.8,35.4,349.99,gas,2
22844,22844,2012,10.0,residential,982.0,8,55.0,28,1959,16.1,23.8,29.8,23794.16,elec,1
22845,22845,2011,1.0,commercial,524.0,6,117.0,3,1929,10.2,14.9,20.2,3305.87,oil,3
22846,22846,2011,11.0,factory,497.0,3,51.0,6,1957,8.5,19.3,27.8,1994.64,oil,3
22847,22847,2011,11.0,education,320.0,2,203.0,5,1944,11.4,19.0,23.3,2128.9,elec,1
22848,22848,2005,11.0,office,529.0,2,117.0,26,1989,12.5,19.8,30.5,16607.45,oil,3
22849,22849,2011,9.0,residential,179.0,3,12.0,7,1978,19.5,26.4,35.6,831.23,oil,3
22850,22850,2010,11.0,office,435.0,6,117.0,9,1990,14.3,19.4,23.8,4384.8,elec,1
22851,22851,2012,6.0,education,337.0,8,203.0,1,1940,24.0,30.2,34.2,346.98,oil,3
22852,22852,2013,5.0,commercial,378.0,3,117.0,5,1922,22.2,28.5,33.4,184.56,gas,2
22853,22853,2010,12.0,residential,233.0,7,51.0,12,1949,9.4,15.5,20.3,3373.55,oil,3
22854,22854,2006,4.0,office,373.0,8,203.0,16,1940,19.7,25.9,33.1,7088.55,elec,1
22855,22855,2006,3.0,residential,689.0,5,51.0,22,1931,18.5,25.25,32.0,14624.17,gas,2
22856,22856,2011,4.0,factory,497.0,3,51.0,6,1957,19.7,27.2,35.8,118.56,gas,2
22857,22857,2012,8.0,office,575.0,4,172.0,14,1940,23.0,29.0,34.0,5490.1,gas,2
22858,22858,2007,5.0,commercial,290.0,2,-7.0,5,1981,23.3,28.8,36.0,2177.18,oil,3
22859,22859,2009,5.0,commercial,912.0,6,172.0,6,1951,23.2,29.4,34.3,9009.1,elec,1
22860,22860,2010,7.0,factory,595.0,7,37.0,1,1999,24.0,30.8,36.6,318.18,gas,2
22861,22861,2011,7.0,commercial,388.0,4,37.0,3,1970,25.7,31.6,40.6,1401.37,oil,3
22862,22862,2009,6.0,commercial,5947.0,6,12.0,2,1996,26.0,31.7,36.6,15852.32,elec,1
22863,22863,2011,5.0,education,1919.0,3,37.0,6,1962,23.3,29.7,37.2,17409.17,elec,1
22864,22864,2014,9.0,commercial,388.0,4,37.0,3,1970,20.0,26.8,32.0,4851.541864684603,oil,3
22865,22865,2013,6.0,commercial,129.0,1,337.0,2,1952,27.0,31.1,36.7,485.45,elec,1
22866,22866,2007,11.0,commercial,284.0,1,172.0,2,1976,12.9,19.7,25.3,543.56,gas,2
22867,22867,2012,10.0,education,857.0,8,37.0,6,1966,16.8,23.3,33.1,2754.47,gas,2
22868,22868,2009,9.0,commercial,122.0,6,117.0,1,1997,20.1,27.1,32.2,146.55,oil,3
22869,22869,2011,8.0,factory,937.0,3,37.0,4,1969,23.4,28.9,34.9,196.07,gas,2
22870,22870,2009,6.0,residential,1186.0,3,117.0,5,1999,23.7,29.700000000000003,35.7,5917.67,elec,1
22871,22871,2014,3.0,office,1084.0,8,19.0,24,1924,16.3,23.1,29.0,35315.16,elec,1
22872,22872,2010,6.0,commercial,877.0,2,55.0,2,1984,25.4,30.1,36.1,2528.29,oil,3
22873,22873,2007,2.0,office,1292.0,1,37.0,5,1992,15.4,19.8,24.5,9405.76,elec,1
22874,22874,2013,9.0,office,657.0,5,203.0,24,1999,19.4,26.7,31.7,12503.14,oil,3
22875,22875,2014,1.0,factory,579.0,7,337.0,1,1929,9.7,15.2,21.9,294.14,gas,2
22876,22876,2008,1.0,education,403.0,5,337.0,6,1954,7.6,14.4,23.4,3105.18,elec,1
22877,22877,2005,1.0,education,425.0,5,-7.0,4,1932,6.1,14.9,21.9,2079.17,elec,1
22878,22878,2013,12.0,factory,497.0,3,51.0,6,1957,9.1,15.8,23.4,2497.2,oil,3
22879,22879,2007,6.0,commercial,836.0,2,12.0,3,1971,21.7,29.1,,3464.5,oil,3
22880,22880,2007,4.0,office,277.0,1,172.0,10,1928,22.0,27.0,32.1,2484.69,oil,3
22881,22881,2006,2.0,commercial,301.0,7,12.0,2,1920,12.7,19.5,25.5,1158.89,oil,3
22882,22882,2012,8.0,residential,623.0,8,337.0,26,1993,24.4,29.1,35.7,9665.35,oil,3
22883,22883,2014,9.0,office,529.0,2,117.0,26,1989,21.2,27.4,32.6,21181.16,elec,1
22884,22884,2005,3.0,education,442.0,5,337.0,5,1922,18.1,24.0,29.8,2188.28,oil,3
22885,22885,2007,3.0,education,187.0,1,172.0,4,2002,10.5,24.8,34.1,584.34,gas,2
22886,22886,2011,4.0,education,411.0,4,172.0,2,1949,18.8,27.1,35.0,1392.01,elec,1
22887,22887,2007,5.0,education,529.0,1,55.0,4,1974,25.0,29.8,34.8,1818.32,gas,2
22888,22888,2007,11.0,commercial,615.0,6,172.0,5,1998,13.3,19.1,27.0,2802.56,gas,2
22889,22889,2009,4.0,office,657.0,5,203.0,24,1999,21.4,27.6,35.6,9095.14,oil,3
22890,22890,2013,10.0,commercial,912.0,6,172.0,6,1951,14.8,23.9,30.5,4851.541864684603,gas,2
22891,22891,2012,8.0,office,479.0,1,203.0,27,1973,23.6,28.9,35.2,15933.46,elec,1
22892,22892,2010,9.0,commercial,1128.0,6,172.0,1,2008,21.7,27.1,33.7,2034.01,elec,1
22893,22893,2007,1.0,education,911.0,5,172.0,1,1986,8.1,15.8,22.8,1225.61,elec,1
22894,22894,2009,7.0,education,411.0,4,172.0,2,1949,26.3,30.2,35.2,1160.01,elec,1
22895,22895,2007,9.0,office,249.0,6,337.0,3,1940,22.5,27.1,34.8,699.19,oil,3
22896,22896,2013,6.0,commercial,1128.0,6,172.0,1,2008,25.0,30.5,36.3,1077.01,gas,2
22897,22897,2007,11.0,factory,1005.0,4,172.0,6,1953,11.2,20.3,29.2,5111.23,oil,3
22898,22898,2006,2.0,education,608.0,1,203.0,6,1950,13.3,20.0,28.3,3277.29,gas,2
22899,22899,2011,11.0,commercial,844.0,3,-7.0,2,1996,13.9,20.1,28.9,2320.15,oil,3
22900,22900,2005,4.0,commercial,656.6619098651926,5,117.0,3,1983,22.0,27.4,32.5,3730.4,oil,3
22901,22901,2010,1.0,commercial,425.0,8,117.0,3,1956,8.8,14.8,23.5,2259.7,oil,3
22902,22902,2005,3.0,factory,452.0,5,-7.0,2,1939,17.2,24.2,30.6,503.36,oil,3
22903,22903,2012,11.0,factory,833.0,2,117.0,4,1935,12.3,19.3,27.5,1533.89,gas,2
22904,22904,2014,6.0,office,464.0,5,55.0,18,1947,23.8,29.7,35.5,7231.41,gas,2
22905,22905,2009,1.0,commercial,553.0,4,12.0,2,2001,5.9,15.0,24.3,2185.1,elec,1
22906,22906,2012,12.0,residential,863.0,5,19.0,4,1940,8.5,14.7,22.4,3202.33,gas,2
22907,22907,2010,8.0,education,650.0,1,12.0,2,1999,24.3,29.1,34.8,1460.16,oil,3
22908,22908,2011,3.0,commercial,912.0,6,172.0,6,1951,14.7,23.5,28.7,8004.38,oil,3
22909,22909,2014,1.0,education,243.0,8,19.0,6,1991,8.2,14.6,24.5,781.02,gas,2
22910,22910,2005,4.0,commercial,836.0,2,12.0,3,1971,20.6,27.4,32.5,4758.38,elec,1
22911,22911,2014,2.0,factory,497.0,3,51.0,6,1957,15.5,20.5,27.3,2479.83,elec,1
22912,22912,2013,12.0,commercial,489.0,6,37.0,2,1934,7.0,14.1,19.2,1103.58,gas,2
22913,22913,2014,2.0,commercial,588.0,2,12.0,4,1963,13.6,19.8,27.5,3730.71,oil,3
22914,22914,2012,7.0,residential,982.0,8,55.0,28,1959,23.5,30.2,35.4,32192.1,elec,1
22915,22915,2010,1.0,commercial,489.0,6,37.0,2,1934,6.2,14.0,20.6,1686.85,elec,1
22916,22916,2009,2.0,commercial,213.0,1,172.0,3,1960,11.4,18.7,28.6,640.62,gas,2
22917,22917,2014,12.0,office,1266.0,6,37.0,29,1952,3.8,15.5,22.6,45548.45,oil,3
22918,22918,2008,8.0,education,425.0,5,-7.0,4,1932,21.5,29.3,35.7,1345.75,gas,2
22919,22919,2005,1.0,education,427.0,4,55.0,1,1946,10.2,14.7,21.5,723.97,oil,3
22920,22920,2007,11.0,commercial,334.0,8,37.0,4,2001,15.0,20.1,27.1,2290.56,oil,3
22921,22921,2012,3.0,commercial,365.0,3,203.0,2,1963,16.8,23.7,30.9,824.99,oil,3
22922,22922,2009,10.0,residential,317.0,6,12.0,23,1945,16.7,23.7,28.8,5893.19,oil,3
22923,22923,2012,1.0,office,1292.0,1,37.0,5,1992,9.2,14.6,23.5,8320.48,elec,1
22924,22924,2008,12.0,commercial,622.0,3,51.0,1,1966,7.5,13.85,20.2,861.51,oil,3
22925,22925,2014,1.0,office,623.0,2,172.0,8,1974,9.1,15.0,20.3,7061.33,elec,1
22926,22926,2005,12.0,commercial,339.0,1,12.0,1,1926,7.6,14.9,21.4,668.43,oil,3
22927,22927,2013,6.0,residential,1068.0,1,12.0,11,1946,24.3,30.7,36.0,7834.74,oil,3
22928,22928,2009,2.0,residential,244.0,6,117.0,23,1994,12.7,19.8,27.2,5464.26,oil,3
22929,22929,2008,2.0,commercial,854.0,4,337.0,1,1936,5.4,18.6,25.5,1546.63,elec,1
22930,22930,2009,3.0,education,156.0,3,-7.0,3,1978,18.5,22.7,28.0,401.36,oil,3
22931,22931,2005,4.0,education,326.0,7,12.0,5,1983,17.1,26.4,29.6,2442.33,oil,3
22932,22932,2010,1.0,education,411.0,4,172.0,2,1949,7.3,14.8,21.1,672.72,gas,2
22933,22933,2005,7.0,office,1122.0,6,37.0,27,1958,23.6,30.2,37.0,16904.05,gas,2
22934,22934,2005,7.0,factory,937.0,3,37.0,4,1969,26.0,30.5,33.9,3116.84,elec,1
22935,22935,2014,7.0,residential,648.0,8,172.0,29,1937,23.8,30.0,34.7,7549.87,gas,2
22936,22936,2005,7.0,office,1296.0,3,12.0,20,2008,25.4,30.7,36.5,1518.65,gas,2
22937,22937,2009,8.0,residential,228.0,1,55.0,22,1960,25.3,29.7,33.8,3085.82,gas,2
22938,22938,2010,1.0,commercial,539.0,6,172.0,4,2009,10.9,16.3,,3840.07,oil,3
22939,22939,2006,2.0,residential,3228.0,3,-7.0,5,1944,13.3,19.6,29.4,16838.54,elec,1
22940,22940,2008,4.0,factory,520.0,7,117.0,2,1964,20.6,26.6,35.8,1155.34,elec,1
22941,22941,2014,5.0,office,1342.0,6,19.0,5,1944,23.5,29.1,35.2,4851.541864684603,gas,2
22942,22942,2012,12.0,commercial,911.0,5,172.0,1,1986,7.4,14.8,22.4,1216.96,gas,2
22943,22943,2009,9.0,factory,287.0,8,203.0,5,1923,19.4,26.4,32.9,1582.69,elec,1
22944,22944,2013,6.0,office,435.0,6,117.0,9,1990,24.1,32.0,39.9,4823.28,elec,1
22945,22945,2007,3.0,office,557.0,6,37.0,7,1925,16.9,24.3,31.8,3752.71,oil,3
22946,22946,2007,4.0,commercial,277.0,2,12.0,5,2009,18.7,26.0,34.1,1653.0,gas,2
22947,22947,2008,6.0,office,249.0,6,337.0,3,1940,26.8,31.1,35.4,509.45,gas,2
22948,22948,2009,11.0,commercial,657.0,5,337.0,1,1964,14.6,19.2,26.7,941.2,oil,3
22949,22949,2014,8.0,commercial,1554.0,4,37.0,1,1995,23.1,29.8,38.4,2049.09,oil,3
22950,22950,2012,7.0,commercial,803.0,6,203.0,4,1964,24.0,30.8,36.6,2927.42,gas,2
22951,22951,2011,3.0,commercial,351.0,3,203.0,5,1946,17.8,23.4,28.6,150.81,gas,2
22952,22952,2008,9.0,commercial,425.0,8,117.0,3,1956,18.9,27.0,34.5,1461.92,oil,3
22953,22953,2013,7.0,education,565.0,5,117.0,5,2006,23.7,29.5,37.2,2655.62,gas,2
22954,22954,2009,11.0,office,286.0,3,55.0,15,1937,11.8,19.5,24.6,4108.1,elec,1
22955,22955,2013,5.0,education,656.6619098651926,8,203.0,1,1940,24.5,29.3,34.2,331.2,oil,3
22956,22956,2006,8.0,education,451.0,5,203.0,4,1978,23.5,28.3,33.1,1395.58,oil,3
22957,22957,2007,8.0,education,312.0,1,-7.0,1,1941,24.3,29.1,35.4,306.63,oil,3
22958,22958,2010,5.0,commercial,1869.0,5,117.0,4,1987,22.6,28.3,35.0,8199.06,gas,2
22959,22959,2006,5.0,residential,350.0,3,19.0,22,1963,21.3,28.8,34.5,5108.1,oil,3
22960,22960,2010,4.0,residential,1024.0,6,203.0,23,1967,20.1,26.4,34.4,22553.4,elec,1
22961,22961,2008,10.0,office,741.0,2,55.0,9,2004,17.4,23.3,28.3,9859.45,elec,1
22962,22962,2010,6.0,commercial,975.0,2,12.0,3,1994,24.8,30.2,37.8,5045.04,elec,1
22963,22963,2009,9.0,office,1292.0,1,37.0,5,1992,21.6,26.3,31.5,6511.68,elec,1
22964,22964,2005,1.0,factory,320.0,8,37.0,3,1990,8.3,15.0,21.7,1018.08,elec,1
22965,22965,2014,9.0,education,1527.0,5,117.0,3,1983,20.7,26.7,32.6,4289.96,oil,3
22966,22966,2011,2.0,commercial,301.0,4,19.0,6,1937,14.4,22.15,29.9,2930.92,elec,1
22967,22967,2012,3.0,residential,863.0,5,19.0,4,1940,17.4,23.3,28.5,2519.28,oil,3
22968,22968,2007,1.0,factory,520.0,7,117.0,2,1964,6.9,14.7,20.7,667.37,gas,2
22969,22969,2006,4.0,factory,407.0,4,-7.0,4,1979,21.1,27.4,34.3,719.17,gas,2
22970,22970,2008,9.0,education,508.0,2,19.0,3,2006,21.0,27.2,33.7,2365.74,elec,1
22971,22971,2012,7.0,commercial,277.0,2,12.0,5,2009,24.9,30.2,35.9,1653.0,gas,2
22972,22972,2014,9.0,education,439.0,1,19.0,6,1989,21.1,26.7,32.0,3717.1,elec,1
22973,22973,2013,1.0,office,123.0,5,12.0,23,1963,6.7,14.4,22.6,3074.59,oil,3
22974,22974,2010,3.0,education,1107.0,4,203.0,4,1927,14.5,23.1,30.3,5936.35,elec,1
22975,22975,2009,10.0,office,582.0,4,37.0,3,1975,14.3,23.9,29.2,1847.88,oil,3
22976,22976,2009,10.0,office,429.0,8,203.0,11,1927,13.9,22.4,,2106.56,gas,2
22977,22977,2008,1.0,commercial,290.0,2,-7.0,5,1981,10.6,15.6,21.2,2575.16,oil,3
22978,22978,2005,2.0,commercial,975.0,2,12.0,3,1994,13.4,19.2,27.2,2094.59,gas,2
22979,22979,2014,9.0,commercial,476.0,7,37.0,4,2003,20.7,25.6,32.5,1995.6,gas,2
22980,22980,2006,11.0,commercial,157.0,6,12.0,3,1921,12.7,19.4,25.0,449.71,gas,2
22981,22981,2010,12.0,office,423.0,7,37.0,4,1991,4.8,14.4,19.9,2288.26,elec,1
22982,22982,2005,7.0,office,489.0,2,19.0,18,2005,24.4,30.2,33.9,8133.05,elec,1
22983,22983,2012,11.0,education,1107.0,4,203.0,4,1927,10.0,18.5,26.9,3129.71,gas,2
22984,22984,2011,12.0,education,254.0,1,337.0,3,1963,7.6,14.7,24.0,714.33,gas,2
22985,22985,2013,12.0,residential,1085.0,5,37.0,7,1928,7.5,14.8,21.1,7315.08,elec,1
22986,22986,2013,6.0,education,403.0,5,337.0,6,1954,22.5,29.4,36.1,2264.38,oil,3
22987,22987,2013,9.0,commercial,301.0,7,12.0,2,1920,20.5,26.9,32.1,1302.63,elec,1
22988,22988,2007,8.0,education,299.0,6,37.0,5,1936,23.4,29.0,35.3,2109.74,elec,1
22989,22989,2008,6.0,office,804.0,1,337.0,18,1995,22.6,30.1,36.8,11852.57,oil,3
22990,22990,2010,8.0,commercial,524.0,6,117.0,3,1929,22.3,29.4,36.7,1716.62,oil,3
22991,22991,2006,5.0,factory,371.0,5,-7.0,6,1953,24.4,30.3,37.0,2041.87,elec,1
22992,22992,2011,12.0,residential,163.0,1,12.0,21,1989,8.9,15.5,19.9,2932.83,elec,1
22993,22993,2011,1.0,factory,641.0,6,337.0,5,1963,7.9,15.1,20.6,2826.81,elec,1
22994,22994,2012,12.0,residential,648.0,8,172.0,29,1937,8.6,15.0,21.4,22001.52,elec,1
22995,22995,2009,8.0,education,312.0,1,-7.0,1,1941,22.3,28.9,36.3,316.85,gas,2
22996,22996,2012,4.0,residential,256.0,8,-7.0,19,2005,17.4,26.8,32.5,4951.94,elec,1
22997,22997,2014,9.0,factory,349.0,6,172.0,3,1958,20.8,26.3,31.8,967.43,elec,1
22998,22998,2006,2.0,commercial,239.0,7,117.0,6,1959,12.1,19.7,29.4,1646.13,gas,2
22999,22999,2010,1.0,education,493.0,2,51.0,2,1993,8.4,15.5,21.0,1530.59,elec,1
23000,23000,2005,1.0,education,529.0,1,55.0,4,1974,9.0,14.8,24.3,3697.08,elec,1
23001,23001,2007,11.0,education,2447.0,8,19.0,6,1943,13.7,19.4,23.3,15932.2,oil,3
23002,23002,2012,7.0,office,843.0,4,203.0,4,1941,23.9,31.0,36.0,4163.75,elec,1
23003,23003,2005,1.0,commercial,553.0,4,12.0,2,2001,9.9,15.5,22.1,1678.51,oil,3
23004,23004,2013,3.0,residential,1024.0,6,203.0,23,1967,17.6,23.4,30.9,20179.35,elec,1
23005,23005,2012,3.0,commercial,599.0,8,337.0,1,1948,16.8,23.8,32.8,336.92,gas,2
23006,23006,2009,4.0,factory,349.0,6,172.0,3,1958,18.1,26.0,31.7,657.25,gas,2
23007,23007,2014,2.0,office,976.0,3,19.0,26,2001,10.3,18.9,26.3,29415.86,elec,1
23008,23008,2014,7.0,office,843.0,4,203.0,4,1941,24.8,30.3,36.8,1777.04,gas,2
23009,23009,2009,2.0,residential,530.0,3,19.0,17,2007,12.0,19.9,26.5,452.48,gas,2
23010,23010,2014,8.0,office,460.0,3,12.0,16,1981,26.6,30.3,37.1,8160.77,elec,1
23011,23011,2006,11.0,factory,349.0,6,172.0,3,1958,14.0,19.1,26.9,1055.38,elec,1
23012,23012,2009,6.0,commercial,844.0,3,-7.0,2,1996,23.8,30.3,37.7,138.46,gas,2
23013,23013,2005,9.0,education,337.0,8,203.0,1,1940,19.1,27.1,32.5,180.52,gas,2
23014,23014,2008,4.0,commercial,1571.0,5,-7.0,6,1990,20.8,26.6,33.8,12514.01,gas,2
23015,23015,2008,5.0,residential,256.0,8,-7.0,19,2005,22.2,28.3,33.8,3755.98,oil,3
23016,23016,2010,6.0,residential,228.0,1,55.0,22,1960,20.8,30.3,36.8,2993.05,oil,3
23017,23017,2008,2.0,office,921.0,6,51.0,27,1979,12.9,19.1,27.4,27851.04,elec,1
23018,23018,2008,3.0,education,488.0,6,172.0,4,2006,12.7,22.9,29.5,3148.19,elec,1
23019,23019,2007,7.0,residential,679.0,2,37.0,4,1987,21.9,30.1,35.9,2083.85,gas,2
23020,23020,2009,7.0,office,464.0,5,55.0,18,1947,26.8,31.5,37.9,7231.41,gas,2
23021,23021,2013,12.0,residential,464.0,3,12.0,3,2001,8.7,14.1,19.5,1468.36,oil,3
23023,23023,2013,11.0,education,254.0,1,337.0,3,1963,10.8,20.3,25.9,1024.13,elec,1
23024,23024,2009,1.0,education,451.0,1,337.0,5,1993,10.1,16.4,24.9,3608.42,oil,3
23025,23025,2006,10.0,commercial,215.0,4,37.0,6,1981,11.9,22.8,32.0,1119.72,gas,2
23026,23026,2005,3.0,commercial,372.0,6,55.0,3,1997,11.1,23.0,,1400.62,oil,3
23027,23027,2008,12.0,commercial,1178.0,4,117.0,3,1930,9.8,14.3,20.9,6109.3,elec,1
23028,23028,2010,12.0,residential,390.0,7,55.0,15,1933,8.4,14.5,20.9,3566.25,gas,2
23029,23029,2006,8.0,education,312.0,1,-7.0,1,1941,26.7,29.7,35.6,268.11,gas,2
23030,23030,2014,5.0,education,337.0,8,203.0,1,1940,23.7,29.3,37.5,503.2,elec,1
23031,23031,2011,4.0,education,403.0,5,337.0,6,1954,20.5,26.2,34.6,1969.03,oil,3
23032,23032,2010,3.0,education,585.0,8,12.0,3,1924,16.9,22.5,32.5,2024.96,elec,1
23033,23033,2007,4.0,commercial,588.0,2,12.0,4,1963,20.0,25.8,32.4,5070.91,elec,1
23034,23034,2010,8.0,commercial,547.0,7,203.0,1,1979,22.9,29.9,37.4,1035.67,elec,1
23035,23035,2007,1.0,commercial,529.0,8,117.0,2,1938,7.1,14.9,21.2,826.51,gas,2
23036,23036,2009,4.0,commercial,339.0,1,12.0,1,1926,14.8,25.9,31.7,451.82,elec,1
23037,23037,2013,2.0,commercial,1869.0,5,117.0,4,1987,13.6,19.3,25.9,10518.8,oil,3
23038,23038,2006,7.0,residential,800.0,7,203.0,2,1978,24.8,30.0,35.3,1483.78,elec,1
23039,23039,2012,2.0,commercial,1178.0,4,117.0,3,1930,13.6,19.7,27.2,6691.13,elec,1
23040,23040,2010,3.0,residential,1172.0,8,12.0,2,1997,17.1,24.1,31.8,2505.7,elec,1
23041,23041,2005,1.0,residential,1085.0,5,37.0,7,1928,7.7,14.5,19.6,8246.68,oil,3
23042,23042,2012,11.0,education,337.0,8,203.0,1,1940,14.0,19.1,26.0,518.52,oil,3
23043,23043,2012,7.0,education,420.0,1,12.0,6,1925,20.0,29.8,38.2,2067.06,gas,2
23044,23044,2010,3.0,office,577.0,6,203.0,3,1941,15.2,23.8,31.2,2132.59,elec,1
23045,23045,2009,4.0,education,488.0,6,172.0,4,2006,22.3,26.5,35.2,1597.52,gas,2
23046,23046,2011,6.0,education,814.0,1,55.0,5,1935,23.0,31.0,36.5,3428.57,oil,3
23047,23047,2006,12.0,education,425.0,5,-7.0,4,1932,8.9,14.8,19.2,1975.21,elec,1
23048,23048,2005,4.0,factory,371.0,5,-7.0,6,1953,18.3,26.6,31.6,1701.55,elec,1
23049,23049,2010,9.0,residential,256.0,8,-7.0,19,2005,20.0,27.1,31.4,4951.94,elec,1
23050,23050,2007,1.0,commercial,323.0,1,117.0,5,1927,9.4,14.4,20.5,2532.32,elec,1
23051,23051,2014,8.0,commercial,451.0,2,12.0,2,1981,24.2,29.7,36.7,1944.71,elec,1
23052,23052,2010,1.0,commercial,260.0,4,117.0,4,2009,8.3,14.6,21.4,1928.57,oil,3
23053,23053,2005,3.0,commercial,476.0,7,37.0,4,2003,17.3,23.8,,3285.09,oil,3
23054,23054,2005,8.0,commercial,260.0,4,117.0,4,2009,23.3,29.7,,1371.33,oil,3
23055,23055,2006,5.0,office,123.0,5,12.0,23,1963,22.8,28.6,35.9,1823.77,oil,3
23056,23056,2012,1.0,education,599.0,1,337.0,2,1946,7.1,14.6,21.6,1822.44,oil,3
23057,23057,2007,3.0,residential,405.0,2,203.0,19,1982,17.5,23.3,28.5,10238.66,elec,1
23058,23058,2009,7.0,education,439.0,1,19.0,6,1989,24.2,30.1,35.6,2160.56,gas,2
23059,23059,2014,7.0,factory,833.0,2,117.0,4,1935,23.6,29.8,36.0,2924.83,elec,1
23060,23060,2007,1.0,factory,371.0,5,-7.0,6,1953,5.0,15.5,,2041.87,elec,1
23061,23061,2008,10.0,education,529.0,1,55.0,4,1974,17.9,23.9,30.9,2307.77,oil,3
23062,23062,2012,3.0,education,254.0,1,337.0,3,1963,17.7,23.9,29.4,921.72,elec,1
23063,23063,2006,10.0,factory,243.0,8,19.0,2,1983,16.4,24.0,29.8,412.32,elec,1
23064,23064,2008,7.0,commercial,635.0,2,12.0,5,2008,25.8,30.8,35.3,4928.62,elec,1
23065,23065,2005,12.0,residential,258.0,3,51.0,9,1962,8.8,15.5,19.2,2422.5,elec,1
23066,23066,2009,9.0,commercial,317.0,8,51.0,2,1976,21.3,26.4,34.5,1204.86,elec,1
23067,23067,2012,9.0,education,337.0,8,203.0,1,1940,20.4,27.4,35.8,189.55,gas,2
23068,23068,2005,9.0,education,388.0,4,172.0,2,1936,20.9,26.2,,724.52,oil,3
23069,23069,2013,2.0,office,277.0,1,172.0,10,1928,12.9,18.7,25.6,3142.92,oil,3
23070,23070,2014,9.0,residential,623.0,1,51.0,26,1999,16.6,26.1,32.9,17960.34,elec,1
23071,23071,2012,7.0,office,657.0,5,203.0,24,1999,26.8,29.5,33.0,12840.2,oil,3
23072,23072,2011,3.0,office,331.0,1,55.0,19,1964,17.6,23.85,30.1,9156.78,elec,1
23073,23073,2012,8.0,factory,320.0,8,37.0,3,1990,22.3,29.5,37.3,673.92,oil,3
23074,23074,2006,7.0,residential,863.0,5,19.0,4,1940,24.2,31.0,37.9,2946.15,gas,2
23075,23075,2012,5.0,commercial,529.0,8,117.0,2,1938,23.5,29.3,35.2,1386.4,oil,3
23076,23076,2010,4.0,education,451.0,1,337.0,5,1993,21.6,27.1,34.7,2025.85,gas,2
23077,23077,2007,10.0,residential,648.0,8,172.0,29,1937,17.5,23.5,30.9,14054.08,oil,3
23078,23078,2009,1.0,education,857.0,8,37.0,6,1966,4.4,15.9,26.6,3167.64,gas,2
23079,23079,2011,6.0,factory,243.0,8,19.0,2,1983,25.7,30.6,36.6,412.32,elec,1
23080,23080,2014,2.0,office,557.0,6,37.0,7,1925,11.7,18.6,27.5,5082.03,oil,3
